[15:30:32] === 6MKJjDxn 高密度崩盘取证监控启动 ===
[15:30:33] 基线: 价格$0.00067421 流动性$79,751
[15:31:33] 价格$0.00069006  流动性$79,888(峰值$79,888)  已存档21笔逐笔  操盘方卖出比例=0.0%
[15:32:34] 价格$0.00069006  流动性$79,888(峰值$79,888)  已存档0笔逐笔
[15:33:34] 价格$0.00069006  流动性$79,888(峰值$79,888)  已存档0笔逐笔
[15:34:34] 价格$0.00069006  流动性$79,888(峰值$79,888)  已存档0笔逐笔
[15:35:34] 价格$0.00069006  流动性$79,888(峰值$79,888)  已存档0笔逐笔
[15:36:34] 价格$0.00069006  流动性$79,888(峰值$79,888)  已存档0笔逐笔  操盘方卖出比例=0.0%
[15:37:34] 价格$0.00069006  流动性$79,738(峰值$79,888)  已存档0笔逐笔
[15:38:35] 价格$0.00069006  流动性$79,738(峰值$79,888)  已存档0笔逐笔
[15:39:35] 价格$0.00069897  流动性$79,872(峰值$79,888)  已存档1笔逐笔
[15:40:35] 价格$0.00069897  流动性$79,872(峰值$79,888)  已存档0笔逐笔
[15:41:36] 价格$0.00069897  流动性$79,872(峰值$79,888)  已存档0笔逐笔  操盘方卖出比例=0.0%
[15:42:36] 价格$0.00069897  流动性$80,810(峰值$80,810)  已存档0笔逐笔
[15:43:36] 价格$0.00069897  流动性$80,810(峰值$80,810)  已存档0笔逐笔
[15:44:36] 价格$0.00069907  流动性$81,391(峰值$81,391)  已存档0笔逐笔
[15:45:36] 价格$0.00069907  流动性$81,391(峰值$81,391)  已存档1笔逐笔
[15:46:36] 价格$0.00069907  流动性$81,391(峰值$81,391)  已存档0笔逐笔  操盘方卖出比例=0.0%
[15:47:36] 价格$0.00069907  流动性$81,391(峰值$81,391)  已存档0笔逐笔
[15:48:37] 价格$0.00069907  流动性$81,262(峰值$81,391)  已存档0笔逐笔
[15:49:37] 价格$0.00069907  流动性$81,262(峰值$81,391)  已存档0笔逐笔
[15:50:37] 价格$0.00069907  流动性$81,262(峰值$81,391)  已存档0笔逐笔
