[17:00:32] === HUpWegd7 高密度崩盘取证监控启动 ===
[17:00:33] 基线: 价格$0.00202811 流动性$101,893
[17:01:34] 价格$0.00206469  流动性$102,277(峰值$102,277)  已存档283笔逐笔  操盘方卖出比例=0.0%
[17:02:34] 价格$0.00208282  流动性$102,730(峰值$102,730)  已存档61笔逐笔
[17:03:34] 价格$0.00208282  流动性$102,730(峰值$102,730)  已存档68笔逐笔
[17:04:34] 价格$0.00210642  流动性$103,324(峰值$103,324)  已存档89笔逐笔
[17:05:35] 价格$0.00212463  流动性$103,696(峰值$103,696)  已存档77笔逐笔
[17:06:35] 价格$0.00213838  流动性$104,168(峰值$104,168)  已存档0笔逐笔  操盘方卖出比例=0.1%
[17:07:35] 价格$0.00215864  流动性$104,646(峰值$104,646)  已存档119笔逐笔
[17:08:35] 价格$0.00217186  流动性$105,052(峰值$105,052)  已存档40笔逐笔
[17:09:36] 价格$0.00217186  流动性$105,052(峰值$105,052)  已存档112笔逐笔
[17:10:36] 价格$0.00219902  流动性$105,671(峰值$105,671)  已存档45笔逐笔
[17:11:36] 价格$0.00219902  流动性$105,671(峰值$105,671)  已存档77笔逐笔  操盘方卖出比例=0.1%
[17:12:37] 价格$0.00222815  流动性$106,393(峰值$106,393)  已存档75笔逐笔
[17:13:37] 价格$0.00224325  流动性$106,678(峰值$106,678)  已存档46笔逐笔
[17:14:37] 价格$0.00225755  流动性$107,063(峰值$107,063)  已存档37笔逐笔
[17:15:38] 价格$0.00226955  流动性$107,389(峰值$107,389)  已存档114笔逐笔
[17:16:38] 价格$0.00226955  流动性$107,389(峰值$107,389)  已存档37笔逐笔  操盘方卖出比例=0.1%
[17:17:38] 价格$0.00229609  流动性$108,073(峰值$108,073)  已存档94笔逐笔
[17:18:39] 价格$0.00230623  流动性$108,317(峰值$108,317)  已存档69笔逐笔
[17:19:39] 价格$0.00230623  流动性$108,317(峰值$108,317)  已存档0笔逐笔
[17:20:39] 价格$0.00233311  流动性$108,902(峰值$108,902)  已存档128笔逐笔
[17:21:39] 价格$0.00235071  流动性$109,248(峰值$109,248)  已存档29笔逐笔  操盘方卖出比例=0.1%
[17:22:39] 价格$0.00235071  流动性$109,248(峰值$109,248)  已存档86笔逐笔
[17:23:40] 价格$0.00234473  流动性$109,801(峰值$109,801)  已存档41笔逐笔
[17:24:40] 价格$0.00237815  流动性$109,915(峰值$109,915)  已存档120笔逐笔
[17:25:40] 价格$0.00239838  流动性$110,431(峰值$110,431)  已存档42笔逐笔
[17:26:40] 价格$0.00239838  流动性$110,431(峰值$110,431)  已存档84笔逐笔  操盘方卖出比例=0.1%
[17:27:41] 价格$0.00242199  流动性$111,034(峰值$111,034)  已存档80笔逐笔
[17:28:41] 价格$0.00243824  流动性$111,401(峰值$111,401)  已存档36笔逐笔
[17:29:41] 价格$0.00245187  流动性$111,715(峰值$111,715)  已存档45笔逐笔
[17:30:41] 价格$0.00245187  流动性$111,715(峰值$111,715)  已存档85笔逐笔
[17:31:42] 价格$0.00248396  流动性$112,536(峰值$112,536)  已存档74笔逐笔  操盘方卖出比例=0.1%
[17:32:42] 价格$0.00249386  流动性$112,753(峰值$112,753)  已存档87笔逐笔
[17:33:42] 价格$0.00251161  流动性$113,020(峰值$113,020)  已存档64笔逐笔
[17:34:42] 价格$0.00251161  流动性$113,020(峰值$113,020)  已存档57笔逐笔
[17:35:42] 价格$0.00253787  流动性$113,827(峰值$113,827)  已存档81笔逐笔
[17:36:43] 价格$0.00255286  流动性$114,122(峰值$114,122)  已存档75笔逐笔  操盘方卖出比例=0.1%
[17:37:43] 价格$0.00255286  流动性$114,122(峰值$114,122)  已存档35笔逐笔
[17:38:43] 价格$0.00257680  流动性$114,648(峰值$114,648)  已存档89笔逐笔
[17:39:43] 价格$0.00259079  流动性$114,945(峰值$114,945)  已存档78笔逐笔
[17:40:43] 价格$0.00259079  流动性$114,945(峰值$114,945)  已存档43笔逐笔
[17:41:44] 价格$0.00261492  流动性$115,520(峰值$115,520)  已存档81笔逐笔  操盘方卖出比例=0.1%
[17:42:44] 价格$0.00263514  流动性$115,944(峰值$115,944)  已存档73笔逐笔
[17:43:44] 价格$0.00264797  流动性$116,235(峰值$116,235)  已存档43笔逐笔
