[19:32:33] === LV3tr8C5 高密度崩盘取证监控启动 ===
[19:32:33] 基线: 价格$0.00002711 流动性$20,881
[19:33:34] 价格$0.00002711  流动性$20,881(峰值$20,881)  已存档82笔逐笔  操盘方卖出比例=100.0%
[19:34:34] 价格$0.00002711  流动性$20,881(峰值$20,881)  已存档0笔逐笔
[19:35:35] 价格$0.00002711  流动性$20,881(峰值$20,881)  已存档0笔逐笔
[19:36:35] 价格$0.00002711  流动性$20,881(峰值$20,881)  已存档0笔逐笔
[19:37:35] 价格$0.00002711  流动性$20,907(峰值$20,907)  已存档0笔逐笔
[19:38:35] 价格$0.00002711  流动性$20,907(峰值$20,907)  已存档2笔逐笔  操盘方卖出比例=100.0%
[19:39:35] 价格$0.00002716  流动性$20,918(峰值$20,918)  已存档0笔逐笔
[19:40:36] 价格$0.00002716  流动性$20,918(峰值$20,918)  已存档0笔逐笔
[19:41:36] 价格$0.00002716  流动性$20,918(峰值$20,918)  已存档0笔逐笔
[19:42:36] 价格$0.00002716  流动性$20,918(峰值$20,918)  已存档0笔逐笔
[19:43:36] 价格$0.00002716  流动性$20,903(峰值$20,918)  已存档0笔逐笔  操盘方卖出比例=100.0%
[19:44:37] 价格$0.00002716  流动性$20,903(峰值$20,918)  已存档0笔逐笔
[19:45:37] 价格$0.00002716  流动性$20,903(峰值$20,918)  已存档0笔逐笔
[19:46:37] 价格$0.00002716  流动性$20,903(峰值$20,918)  已存档0笔逐笔
[19:47:37] 价格$0.00002716  流动性$20,903(峰值$20,918)  已存档0笔逐笔
[19:48:38] 价格$0.00002716  流动性$20,903(峰值$20,918)  已存档0笔逐笔  操盘方卖出比例=100.0%
[19:49:38] 价格$0.00002716  流动性$20,903(峰值$20,918)  已存档0笔逐笔
[19:50:38] 价格$0.00002716  流动性$20,903(峰值$20,918)  已存档0笔逐笔
[19:51:38] 价格$0.00002716  流动性$20,903(峰值$20,918)  已存档0笔逐笔
[19:52:38] 价格$0.00002716  流动性$20,903(峰值$20,918)  已存档0笔逐笔
[19:53:39] 价格$0.00002716  流动性$20,903(峰值$20,918)  已存档0笔逐笔  操盘方卖出比例=100.0%
[19:54:39] 价格$0.00002716  流动性$20,903(峰值$20,918)  已存档0笔逐笔
[19:55:39] 价格$0.00002716  流动性$20,937(峰值$20,937)  已存档0笔逐笔
[19:56:39] 价格$0.00002716  流动性$20,937(峰值$20,937)  已存档0笔逐笔
[19:57:39] 价格$0.00002716  流动性$20,937(峰值$20,937)  已存档0笔逐笔
[19:58:40] 价格$0.00002716  流动性$20,937(峰值$20,937)  已存档0笔逐笔  操盘方卖出比例=100.0%
[19:59:40] 价格$0.00002716  流动性$20,937(峰值$20,937)  已存档0笔逐笔
[20:00:40] 价格$0.00002716  流动性$20,937(峰值$20,937)  已存档0笔逐笔
[20:01:40] 价格$0.00002716  流动性$20,932(峰值$20,937)  已存档0笔逐笔
[20:02:40] 价格$0.00002716  流动性$20,932(峰值$20,937)  已存档0笔逐笔
[20:03:40] 价格$0.00002716  流动性$20,932(峰值$20,937)  已存档0笔逐笔  操盘方卖出比例=100.0%
[20:04:40] 价格$0.00002716  流动性$20,932(峰值$20,937)  已存档0笔逐笔
[20:05:41] 价格$0.00002716  流动性$20,932(峰值$20,937)  已存档0笔逐笔
[20:06:41] 价格$0.00002716  流动性$20,932(峰值$20,937)  已存档0笔逐笔
[20:07:41] 价格$0.00002716  流动性$20,938(峰值$20,938)  已存档0笔逐笔
[20:08:41] 价格$0.00002716  流动性$20,938(峰值$20,938)  已存档0笔逐笔  操盘方卖出比例=100.0%
[20:09:42] 价格$0.00002716  流动性$20,938(峰值$20,938)  已存档0笔逐笔
[20:10:42] 价格$0.00002716  流动性$20,938(峰值$20,938)  已存档0笔逐笔
[20:11:42] 价格$0.00002716  流动性$20,938(峰值$20,938)  已存档0笔逐笔
[20:12:42] 价格$0.00002716  流动性$20,938(峰值$20,938)  已存档0笔逐笔
[20:13:42] 价格$0.00002716  流动性$20,960(峰值$20,960)  已存档0笔逐笔  操盘方卖出比例=100.0%
[20:14:42] 价格$0.00002716  流动性$20,960(峰值$20,960)  已存档0笔逐笔
[20:15:43] 价格$0.00002716  流动性$20,960(峰值$20,960)  已存档0笔逐笔
[20:16:43] 价格$0.00002716  流动性$20,960(峰值$20,960)  已存档0笔逐笔
[20:17:43] 价格$0.00002716  流动性$20,960(峰值$20,960)  已存档0笔逐笔
[20:18:43] 价格$0.00002716  流动性$20,960(峰值$20,960)  已存档0笔逐笔  操盘方卖出比例=100.0%
[20:19:43] 价格$0.00002716  流动性$20,921(峰值$20,960)  已存档0笔逐笔
[20:20:43] 价格$0.00002716  流动性$20,921(峰值$20,960)  已存档0笔逐笔
[20:21:44] 价格$0.00002716  流动性$20,921(峰值$20,960)  已存档0笔逐笔
[20:22:44] 价格$0.00002716  流动性$20,921(峰值$20,960)  已存档0笔逐笔
[20:23:44] 价格$0.00002716  流动性$20,921(峰值$20,960)  已存档0笔逐笔  操盘方卖出比例=100.0%
[20:24:45] 价格$0.00002716  流动性$20,921(峰值$20,960)  已存档0笔逐笔
[20:25:45] 价格$0.00002716  流动性$20,921(峰值$20,960)  已存档0笔逐笔
[20:26:45] 价格$0.00002716  流动性$20,937(峰值$20,960)  已存档0笔逐笔
[20:27:45] 价格$0.00002716  流动性$20,937(峰值$20,960)  已存档0笔逐笔
[20:28:46] 价格$0.00002716  流动性$20,937(峰值$20,960)  已存档0笔逐笔  操盘方卖出比例=100.0%
[20:29:46] 价格$0.00002716  流动性$20,937(峰值$20,960)  已存档0笔逐笔
[20:30:46] 价格$0.00002716  流动性$20,937(峰值$20,960)  已存档0笔逐笔
[20:31:46] 价格$0.00002716  流动性$20,913(峰值$20,960)  已存档0笔逐笔
[20:32:46] 价格$0.00002716  流动性$20,913(峰值$20,960)  已存档0笔逐笔
[20:33:47] 价格$0.00002716  流动性$20,913(峰值$20,960)  已存档0笔逐笔  操盘方卖出比例=100.0%
[20:34:47] 价格$0.00002716  流动性$20,913(峰值$20,960)  已存档0笔逐笔
[20:35:48] 价格$0.00002716  流动性$20,913(峰值$20,960)  已存档0笔逐笔
[20:36:48] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[20:37:49] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[20:38:49] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔  操盘方卖出比例=100.0%
[20:39:50] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
