[14:21:31] === 94G7znVa 高密度崩盘取证监控启动 ===
[14:21:32] 基线: 价格$0.00119665 流动性$77,439
[14:22:33] 价格$0.00126270  流动性$77,748(峰值$77,748)  已存档68笔逐笔  操盘方卖出比例=0.2%
[14:23:33] 价格$0.00127586  流动性$79,086(峰值$79,086)  已存档12笔逐笔
[14:24:33] 价格$0.00130434  流动性$80,865(峰值$80,865)  已存档8笔逐笔
[14:25:33] 价格$0.00136021  流动性$81,949(峰值$81,949)  已存档11笔逐笔
[14:26:33] 价格$0.00136021  流动性$81,949(峰值$81,949)  已存档7笔逐笔
[14:27:34] 价格$0.00140722  流动性$84,578(峰值$84,578)  已存档8笔逐笔  操盘方卖出比例=1.5%
[14:28:34] 价格$0.00140722  流动性$84,578(峰值$84,578)  已存档5笔逐笔
[14:29:34] 价格$0.00148831  流动性$85,352(峰值$85,352)  已存档10笔逐笔
[14:30:34] 价格$0.00148831  流动性$85,352(峰值$85,352)  已存档14笔逐笔
[14:31:35] 价格$0.00157994  流动性$88,859(峰值$88,859)  已存档4笔逐笔
[14:32:35] 价格$0.00159358  流动性$89,058(峰值$89,058)  已存档12笔逐笔  操盘方卖出比例=3.4%
[14:33:36] 价格$0.00164096  流动性$91,570(峰值$91,570)  已存档14笔逐笔
[14:34:36] 价格$0.00164096  流动性$91,570(峰值$91,570)  已存档8笔逐笔
[14:35:36] 价格$0.00169522  流动性$93,477(峰值$93,477)  已存档4笔逐笔
[14:36:36] 价格$0.00167633  流动性$92,806(峰值$93,477)  已存档5笔逐笔
[14:37:36] 价格$0.00167633  流动性$92,806(峰值$93,477)  已存档4笔逐笔  操盘方卖出比例=4.1%
[14:38:37] 价格$0.00176112  流动性$94,643(峰值$94,643)  已存档0笔逐笔
[14:39:37] 价格$0.00177859  流动性$94,641(峰值$94,643)  已存档13笔逐笔
[14:40:37] 价格$0.00173297  流动性$94,493(峰值$94,643)  已存档6笔逐笔
[14:41:37] 价格$0.00173297  流动性$94,493(峰值$94,643)  已存档3笔逐笔
[14:42:38] 价格$0.00191068  流动性$96,934(峰值$96,934)  已存档10笔逐笔  操盘方卖出比例=4.5%
[14:43:38] 价格$0.00191068  流动性$96,934(峰值$96,934)  已存档7笔逐笔
[14:44:38] 价格$0.00196472  流动性$99,486(峰值$99,486)  已存档8笔逐笔
[14:45:38] 价格$0.00196144  流动性$99,060(峰值$99,486)  已存档5笔逐笔
[14:46:39] 价格$0.00196144  流动性$99,060(峰值$99,486)  已存档9笔逐笔
[14:47:39] 价格$0.00202039  流动性$100,881(峰值$100,881)  已存档4笔逐笔  操盘方卖出比例=4.6%
[14:48:39] 价格$0.00207075  流动性$101,541(峰值$101,541)  已存档11笔逐笔
[14:49:40] 价格$0.00213199  流动性$103,219(峰值$103,219)  已存档15笔逐笔
[14:50:40] 价格$0.00216776  流动性$103,829(峰值$103,829)  已存档9笔逐笔
[14:51:40] 价格$0.00222977  流动性$105,780(峰值$105,780)  已存档8笔逐笔
[14:52:42] 价格$0.00220255  流动性$106,271(峰值$106,271)  已存档8笔逐笔  操盘方卖出比例=4.7%
[14:53:42] 价格$0.00220255  流动性$106,271(峰值$106,271)  已存档0笔逐笔
[14:54:42] 价格$0.00236839  流动性$106,999(峰值$106,999)  已存档12笔逐笔
[14:55:42] 价格$0.00236839  流动性$106,999(峰值$106,999)  已存档10笔逐笔
[14:56:42] 价格$0.00243091  流动性$110,388(峰值$110,388)  已存档5笔逐笔
