[16:21:32] === BTNwwXTL 高密度崩盘取证监控启动 ===
[16:21:32] 基线: 价格$0.00007967 流动性$19,871
[16:22:33] 价格$0.00005795  流动性$18,223(峰值$19,871)  已存档300笔逐笔  操盘方卖出比例=85.9%
[16:23:33] 价格$0.00008232  流动性$15,992(峰值$19,871)  已存档300笔逐笔
[16:24:33] 价格$0.00007512  流动性$18,411(峰值$19,871)  已存档300笔逐笔
[16:25:33] 价格$0.00007512  流动性$18,411(峰值$19,871)  已存档126笔逐笔
[16:26:33] 价格$0.00008155  流动性$18,256(峰值$19,871)  已存档300笔逐笔
[16:27:34] 价格$0.00008155  流动性$18,256(峰值$19,871)  已存档255笔逐笔  操盘方卖出比例=84.5%
[16:28:34] 价格$0.00010240  流动性$23,515(峰值$23,515)  已存档300笔逐笔
[16:29:34] 价格$0.00010240  流动性$23,515(峰值$23,515)  已存档300笔逐笔
[16:30:35] 价格$0.00007995  流动性$19,482(峰值$23,515)  已存档300笔逐笔
[16:31:35] 价格$0.00008435  流动性$20,457(峰值$23,515)  已存档300笔逐笔
[16:32:35] 价格$0.00010602  流动性$21,805(峰值$23,515)  已存档0笔逐笔  操盘方卖出比例=87.8%
[16:33:35] 价格$0.00012073  流动性$23,802(峰值$23,802)  已存档300笔逐笔
[16:34:35] 价格$0.00012073  流动性$23,802(峰值$23,802)  已存档300笔逐笔
[16:35:36] 价格$0.00013429  流动性$26,739(峰值$26,739)  已存档300笔逐笔
[16:36:36] 价格$0.00015295  流动性$26,632(峰值$26,739)  已存档98笔逐笔
[16:37:37] 价格$0.00016329  流动性$30,706(峰值$30,706)  已存档300笔逐笔  操盘方卖出比例=87.7%
[16:38:37] 价格$0.00020811  流动性$32,953(峰值$32,953)  已存档300笔逐笔
[16:39:37] 价格$0.00022369  流动性$36,532(峰值$36,532)  已存档300笔逐笔
[16:40:37] 价格$0.00023254  流动性$37,539(峰值$37,539)  已存档300笔逐笔
[16:41:37] 价格$0.00020569  流动性$33,228(峰值$37,539)  已存档300笔逐笔
[16:42:38] 价格$0.00020569  流动性$33,228(峰值$37,539)  已存档0笔逐笔  操盘方卖出比例=85.6%
[16:43:38] 价格$0.00036237  流动性$42,816(峰值$42,816)  已存档300笔逐笔
[16:44:39] 价格$0.00040115  流动性$46,856(峰值$46,856)  已存档300笔逐笔
[16:45:39] 价格$0.00039517  流动性$47,889(峰值$47,889)  已存档0笔逐笔
[16:46:39] 价格$0.00037531  流动性$46,830(峰值$47,889)  已存档300笔逐笔
[16:47:41] 价格$0.00039453  流动性$47,503(峰值$47,889)  已存档300笔逐笔  操盘方卖出比例=83.0%
[16:48:41] 价格$0.00049624  流动性$52,751(峰值$52,751)  已存档0笔逐笔
[16:49:41] 价格$0.00051359  流动性$52,582(峰值$52,751)  已存档300笔逐笔
[16:50:41] 价格$0.00054873  流动性$57,219(峰值$57,219)  已存档300笔逐笔
[16:51:41] 价格$0.00054719  流动性$58,388(峰值$58,388)  已存档300笔逐笔
[16:52:42] 价格$0.00054719  流动性$58,388(峰值$58,388)  已存档300笔逐笔  操盘方卖出比例=91.4%
[16:53:43] 价格$0.00065086  流动性$62,938(峰值$62,938)  已存档300笔逐笔
[16:54:43] 价格$0.00074755  流动性$66,429(峰值$66,429)  已存档300笔逐笔
[16:55:43] 价格$0.00067754  流动性$64,892(峰值$66,429)  已存档300笔逐笔
[16:56:44] 价格$0.00067754  流动性$64,892(峰值$66,429)  已存档300笔逐笔
[16:57:44] 价格$0.00069324  流动性$63,182(峰值$66,429)  已存档300笔逐笔  操盘方卖出比例=98.8%
[16:58:44] 价格$0.00066953  流动性$64,276(峰值$66,429)  已存档300笔逐笔
[16:59:44] 价格$0.00069898  流动性$66,528(峰值$66,528)  已存档209笔逐笔
[17:00:44] 价格$0.00069898  流动性$66,528(峰值$66,528)  已存档300笔逐笔
[17:01:45] 价格$0.00070536  流动性$64,115(峰值$66,528)  已存档300笔逐笔
[17:02:45] 价格$0.00056634  流动性$59,019(峰值$66,528)  已存档300笔逐笔  操盘方卖出比例=99.5%
[17:03:45] 价格$0.00064748  流动性$63,363(峰值$66,528)  已存档300笔逐笔
[17:04:46] 价格$0.00069795  流动性$64,204(峰值$66,528)  已存档300笔逐笔
[17:05:46] 价格$0.00073275  流动性$66,636(峰值$66,636)  已存档266笔逐笔
[17:06:46] 价格$0.00073275  流动性$66,636(峰值$66,636)  已存档300笔逐笔
[17:07:47] 价格$0.00091122  流动性$79,037(峰值$79,037)  已存档300笔逐笔  操盘方卖出比例=96.1%
[17:08:47] 价格$0.00100898  流动性$79,967(峰值$79,967)  已存档300笔逐笔
[17:09:47] 价格$0.00113010  流动性$86,260(峰值$86,260)  已存档300笔逐笔
[17:10:47] 价格$0.00114604  流动性$87,003(峰值$87,003)  已存档300笔逐笔
[17:11:48] 价格$0.00122990  流动性$90,641(峰值$90,641)  已存档300笔逐笔
[17:12:48] 价格$0.00109132  流动性$84,044(峰值$90,641)  已存档300笔逐笔  操盘方卖出比例=86.5%
[17:13:48] 价格$0.00109320  流动性$83,260(峰值$90,641)  已存档300笔逐笔
[17:14:48] 价格$0.00106123  流动性$81,676(峰值$90,641)  已存档300笔逐笔
[17:15:48] 价格$0.00103719  流动性$84,381(峰值$90,641)  已存档300笔逐笔
[17:16:49] 价格$0.00116805  流动性$86,214(峰值$90,641)  已存档300笔逐笔
[17:17:49] 价格$0.00116805  流动性$86,214(峰值$90,641)  已存档0笔逐笔  操盘方卖出比例=85.4%
